img_name,label,clean_pred_label,clean_pred_prob,adv_normal_pred_label,adv_normal_pred_prob,adv_special_pred_label,adv_special_pred_prob,gen_night_clean_pred_label,gen_night_clean_pred_prob,gen_night_normal_pred_label,gen_night_normal_pred_prob,gen_night_special_pred_label,gen_night_special_pred_prob,gen_night_2_clean_pred_label,gen_night_2_clean_pred_prob,gen_night_2_normal_pred_label,gen_night_2_normal_pred_prob,gen_night_2_special_pred_label,gen_night_2_special_pred_prob,gen_snow_clean_pred_label,gen_snow_clean_pred_prob,gen_snow_normal_pred_label,gen_snow_normal_pred_prob,gen_snow_special_pred_label,gen_snow_special_pred_prob,gen_snow_2_clean_pred_label,gen_snow_2_clean_pred_prob,gen_snow_2_normal_pred_label,gen_snow_2_normal_pred_prob,gen_snow_2_special_pred_label,gen_snow_2_special_pred_prob,gen_dawn_clean_pred_label,gen_dawn_clean_pred_prob,gen_dawn_normal_pred_label,gen_dawn_normal_pred_prob,gen_dawn_special_pred_label,gen_dawn_special_pred_prob,gen_dawn_2_clean_pred_label,gen_dawn_2_clean_pred_prob,gen_dawn_2_normal_pred_label,gen_dawn_2_normal_pred_prob,gen_dawn_2_special_pred_label,gen_dawn_2_special_pred_prob,total_generated_imgs,total_adv_gen_attack_succeeded_normal,avg_prob_gen_attack_succeeded_normal,total_gen_failed_normal,total_adv_gen_attack_succeeded_special,avg_prob_gen_attack_succeeded_special,total_gen_failed_special
road_1,12,12,0.8679486513137817,4,0.7043424248695374,3,0.6515693068504333,12,0.8888591527938843,4,0.6741525530815125,7,0.3943104147911072,12,0.843170166015625,4,0.5120980739593506,3,0.5350987911224365,12,0.8475548624992371,4,0.4186760187149048,3,0.3928075432777405,12,0.8481913208961487,4,0.4040193557739258,3,0.41474616527557373,12,0.8834475874900818,4,0.49469777941703796,3,0.40360963344573975,12,0.8648003935813904,4,0.39314717054367065,3,0.5140844583511353,6,6,0.482798491915067,0,6,0.4424428343772888,0
road_2,12,12,0.8853724002838135,8,0.6203561425209045,0,0.6358570456504822,12,0.8939621448516846,8,0.8843585848808289,0,0.4523918628692627,12,0.8420735597610474,8,0.3007911443710327,12,0.11822612583637238,12,0.9078646898269653,8,0.5148778557777405,0,0.410012423992157,12,0.9027045965194702,8,0.5160431861877441,0,0.42772212624549866,12,0.8996599316596985,8,0.5418707132339478,0,0.6136487722396851,12,0.9041470885276794,8,0.514035165309906,0,0.5279346108436584,6,6,0.5453294416268667,0,5,0.48634195923805235,1
road_3,12,12,0.6864805817604065,4,0.49850940704345703,11,0.17313653230667114,12,0.8201538324356079,12,0.20412032306194305,15,0.1072670966386795,12,0.8481153249740601,12,0.48554569482803345,12,0.34150058031082153,12,0.7862411141395569,12,0.15521779656410217,11,0.13365203142166138,12,0.7507641315460205,8,0.23570837080478668,2,0.1310221254825592,12,0.7280940413475037,7,0.17939415574073792,7,0.13440774381160736,12,0.7054951786994934,0,0.17842823266983032,11,0.1399812400341034,6,3,0.19784358640511832,3,5,0.12926604747772216,1
road_4,12,12,0.8826318383216858,2,0.2421472668647766,7,0.39722952246665955,12,0.8824690580368042,12,0.7661426663398743,12,0.5591049790382385,12,0.9009873270988464,12,0.6276450753211975,12,0.42368143796920776,12,0.8845274448394775,12,0.35919857025146484,12,0.35769879817962646,12,0.8920560479164124,12,0.6603502035140991,12,0.4795217216014862,12,0.8841395974159241,12,0.31425705552101135,7,0.27588415145874023,12,0.8752263784408569,8,0.1913522481918335,7,0.27355146408081055,6,1,0.1913522481918335,5,2,0.2747178077697754,4
road_5,12,12,0.8961789608001709,7,0.266095370054245,12,0.24423424899578094,12,0.888071596622467,12,0.48337116837501526,12,0.451476126909256,12,0.900809645652771,12,0.596546471118927,12,0.5779895186424255,12,0.882469892501831,12,0.2659628391265869,12,0.27283725142478943,12,0.9051701426506042,12,0.34041693806648254,12,0.33394303917884827,12,0.8411222696304321,7,0.3596862256526947,7,0.32770371437072754,12,0.9182531237602234,12,0.42100757360458374,12,0.3969249129295349,6,1,0.3596862256526947,5,1,0.32770371437072754,5
road_6,12,12,0.8606986999511719,4,0.5441290736198425,4,0.543900728225708,12,0.839275062084198,4,0.48397260904312134,4,0.605305552482605,12,0.8549008965492249,4,0.5671641826629639,4,0.5875963568687439,12,0.8786756992340088,4,0.34111547470092773,4,0.4538697600364685,12,0.8807920217514038,7,0.22462837398052216,4,0.2387407273054123,12,0.8723710775375366,4,0.5071101784706116,4,0.37529081106185913,12,0.8455072641372681,4,0.41036778688430786,4,0.4283916652202606,6,6,0.4223931009570758,0,6,0.44819914549589157,0
road_8,12,12,0.9186112284660339,4,0.6841959953308105,3,0.2604144215583801,12,0.8706188797950745,12,0.6502950191497803,12,0.404069185256958,12,0.8888749480247498,12,0.7474516034126282,12,0.4978746175765991,12,0.8918761610984802,4,0.5623421669006348,3,0.3057440221309662,12,0.8745600581169128,4,0.4755247235298157,4,0.22365151345729828,12,0.8476547002792358,12,0.47384023666381836,12,0.306751549243927,12,0.9178615212440491,4,0.5101403594017029,12,0.3345429003238678,6,3,0.5160024166107178,3,2,0.26469776779413223,4
road_9,12,12,0.6757597327232361,4,0.4778577387332916,7,0.18166708946228027,12,0.7088567018508911,12,0.14027416706085205,7,0.1635199934244156,12,0.7116424441337585,12,0.2219124436378479,7,0.16845843195915222,12,0.7772380113601685,4,0.2322927564382553,7,0.1530846655368805,12,0.6456825137138367,12,0.13726478815078735,7,0.21084004640579224,12,0.6226266026496887,4,0.3068292438983917,7,0.14652793109416962,12,0.8027758598327637,12,0.2750544846057892,12,0.17351193726062775,6,2,0.2695610001683235,4,5,0.16848621368408204,1
road_10,12,12,0.8830708861351013,4,0.22491398453712463,4,0.2799093425273895,12,0.8474631309509277,12,0.20022866129875183,12,0.24602539837360382,12,0.8446894288063049,12,0.23941479623317719,4,0.24199557304382324,12,0.866895318031311,12,0.1914059817790985,7,0.20459234714508057,12,0.8660063743591309,12,0.2594205439090729,4,0.22467158734798431,12,0.8466212749481201,4,0.1520967334508896,4,0.2541395425796509,12,0.8632610440254211,12,0.13771921396255493,7,0.1683424413204193,6,1,0.1520967334508896,5,5,0.21874829828739167,1
road_11,12,12,0.9168446660041809,7,0.5954703092575073,0,0.5281819701194763,12,0.8858920335769653,7,0.7535317540168762,0,0.6161579489707947,12,0.8946719765663147,7,0.6790204644203186,0,0.4872344434261322,12,0.8982723355293274,7,0.6881183981895447,0,0.4329339265823364,12,0.8912672996520996,7,0.6366493105888367,0,0.46348869800567627,12,0.8956109881401062,7,0.728672206401825,0,0.7018243074417114,12,0.7923399806022644,7,0.479188472032547,0,0.5625231862068176,6,6,0.6608634342749914,0,6,0.5440270851055781,0
road_12,12,12,0.9012296795845032,0,0.2935105562210083,12,0.20752258598804474,12,0.8710594177246094,12,0.28628188371658325,12,0.2997274100780487,12,0.854989767074585,12,0.31294742226600647,12,0.2431117743253708,12,0.8899630904197693,0,0.29908257722854614,12,0.23046013712882996,12,0.8980589509010315,12,0.6230340003967285,12,0.3644096553325653,12,0.8739747405052185,0,0.4066002070903778,12,0.3150809407234192,12,0.8502985239028931,12,0.3531622290611267,12,0.24645937979221344,6,2,0.352841392159462,4,0,0.0,6
